id,Hardness
10407,2.7458377
10408,3.4208694
10409,5.759239
10410,4.156381
10411,5.214655
10412,5.6833005
10413,3.622422
10414,4.412457
10415,3.604522
10416,4.5889325
10417,2.5756176
10418,4.935953
10419,6.030547
10420,4.2097077
10421,5.5629373
10422,5.1433077
10423,4.1620717
10424,4.8381667
10425,5.850465
10426,1.390566
10427,4.4994106
10428,4.764071
10429,5.9319677
10430,3.8787224
10431,4.1015744
10432,5.6746926
10433,5.559525
10434,5.2819743
10435,6.0469255
10436,4.9894657
10437,5.747931
10438,6.454964
10439,6.33022
10440,3.8011112
10441,2.7043684
10442,3.2247295
10443,2.4391248
10444,4.1835623
10445,5.6183896
10446,3.2150214
10447,5.5414567
10448,6.0785694
10449,4.2996507
10450,5.733247
10451,5.377819
10452,2.779495
10453,6.179007
10454,5.153453
10455,2.8612163
10456,2.5583198
10457,2.684635
10458,10.808154
10459,5.6896915
10460,3.1610358
10461,5.760644
10462,5.331088
10463,5.3758774
10464,5.406137
10465,3.0424075
10466,6.1505837
10467,5.5449157
10468,2.8095617
10469,4.5794773
10470,4.84059
10471,5.281645
10472,1.9510496
10473,6.166898
10474,3.3712442
10475,6.2582974
10476,3.5615425
10477,5.7959046
10478,4.023223
10479,4.9634533
10480,3.3618476
10481,3.988759
10482,5.892566
10483,5.8501
10484,1.72088
10485,3.8582578
10486,1.5804667
10487,2.4197483
10488,5.100726
10489,3.8085334
10490,3.3548732
10491,5.3471155
10492,6.2638545
10493,2.2184885
10494,2.7506163
10495,4.131256
10496,3.7178078
10497,5.1564503
10498,5.978574
10499,5.5983553
10500,3.7388725
10501,3.2917361
10502,8.149141
10503,5.6873546
10504,4.9612775
10505,1.9555324
10506,3.1971037
10507,6.0797687
10508,2.3384626
10509,2.744083
10510,3.9343336
10511,1.8694144
10512,4.6986113
10513,4.9179974
10514,4.3711863
10515,2.427301
10516,3.6662452
10517,5.9503274
10518,5.013097
10519,6.1452274
10520,5.4391627
10521,4.148184
10522,5.1490455
10523,5.207582
10524,2.7884405
10525,3.5921314
10526,2.591114
10527,4.918166
10528,5.8861623
10529,6.1165237
10530,3.003649
10531,5.265248
10532,4.4384704
10533,5.0780363
10534,6.6457405
10535,5.2398987
10536,4.102038
10537,5.074595
10538,5.915022
10539,4.6183815
10540,3.0501194
10541,2.7259521
10542,3.9631438
10543,5.743169
10544,3.8007789
10545,4.3325553
10546,4.393593
10547,6.263859
10548,5.765596
10549,5.278876
10550,5.2097774
10551,3.1724238
10552,4.391793
10553,4.404186
10554,2.8693368
10555,2.5255172
10556,5.434733
10557,5.6981006
10558,4.952251
10559,4.495679
10560,2.2648222
10561,4.63795
10562,5.742286
10563,4.1004786
10564,2.6190555
10565,4.093626
10566,3.8363264
10567,5.006212
10568,3.760697
10569,5.3577337
10570,5.5688653
10571,5.977327
10572,6.157859
10573,5.3014708
10574,2.6038737
10575,4.1001673
10576,2.4179459
10577,1.6601907
10578,4.592075
10579,5.6515
10580,3.5974405
10581,5.9028935
10582,3.1222599
10583,2.8460672
10584,4.246902
10585,2.5871422
10586,2.3755665
10587,4.9608383
10588,3.1964283
10589,5.609571
10590,2.9050374
10591,5.7581544
10592,2.4751484
10593,5.145081
10594,5.308895
10595,5.617638
10596,3.4970605
10597,6.361966
10598,3.6738038
10599,5.4416103
10600,3.2899826
10601,5.7309093
10602,3.9611695
10603,5.094297
10604,5.789265
10605,1.7194316
10606,2.7421737
10607,6.076664
10608,5.8235188
10609,10.229351
10610,5.867587
10611,4.158934
10612,5.6608233
10613,6.0545597
10614,5.754205
10615,5.8543587
10616,7.186165
10617,6.1885066
10618,2.6184597
10619,5.2324343
10620,5.6465025
10621,3.4057908
10622,3.125813
10623,5.871679
10624,4.960654
10625,4.6151075
10626,3.7267978
10627,4.1046925
10628,5.0505486
10629,5.756058
10630,1.8262466
10631,5.268963
10632,2.968357
10633,2.8105996
10634,2.8385334
10635,4.7430544
10636,4.304694
10637,8.253152
10638,2.222873
10639,5.954652
10640,5.715987
10641,2.935706
10642,2.565149
10643,1.7194316
10644,3.7567432
10645,5.698187
10646,2.3239546
10647,5.555348
10648,5.359972
10649,5.616465
10650,3.4354773
10651,5.90811
10652,5.588583
10653,6.0543666
10654,3.1298542
10655,2.8976212
10656,5.2168517
10657,4.4972253
10658,5.860639
10659,6.1589165
10660,3.476349
10661,4.5186906
10662,3.6998432
10663,6.1467447
10664,4.1547637
10665,5.6270814
10666,4.384904
10667,4.3259783
10668,5.851999
10669,4.7658486
10670,1.9265285
10671,3.6287167
10672,2.9501214
10673,3.352339
10674,2.8537574
10675,4.4031215
10676,2.6026096
10677,2.9887698
10678,4.1799498
10679,2.3189952
10680,5.4546857
10681,4.20186
10682,4.111898
10683,3.5703723
10684,2.525687
10685,5.3130302
10686,2.6073956
10687,5.9867177
10688,6.042205
10689,4.7930045
10690,3.7609878
10691,5.6232986
10692,5.045072
10693,5.1246614
10694,5.343585
10695,3.707361
10696,5.7452617
10697,5.414902
10698,3.4845958
10699,1.72088
10700,2.2622309
10701,4.2295055
10702,5.15493
10703,5.4951043
10704,3.1500442
10705,6.3333416
10706,5.870493
10707,6.6532044
10708,2.9775221
10709,2.432648
10710,4.719154
10711,4.924006
10712,4.388855
10713,3.2387998
10714,1.0195987
10715,4.9451694
10716,5.591358
10717,6.1311297
10718,4.694253
10719,5.4210353
10720,5.7106266
10721,4.3293223
10722,2.668498
10723,4.25399
10724,4.824816
10725,1.7286875
10726,3.0663364
10727,1.7894181
10728,3.9166403
10729,5.57497
10730,5.3856945
10731,5.9073205
10732,3.341634
10733,2.6453629
10734,5.666339
10735,5.5204625
10736,5.5395145
10737,5.1783247
10738,5.3534336
10739,3.6852818
10740,2.4749117
10741,5.1991844
10742,2.884786
10743,4.1242285
10744,3.656067
10745,5.657796
